"field"	"review_value"
"evidence_question"	"Which review question exposes a gap between policy language and operating evidence?"
"source_fact"	"records owner retained disposition record for p03-src-004987"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control narrative comparison"
"review_observation"	"the approval boundary matched the operating record"
"challenge_performed"	"a compensating action was checked for accountable ownership"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule"	"Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
