field,review_value,review_period,review_period_context
evidence_question,Which responsibility boundary must be visible before the record is approved?,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
source_fact,records owner retained disposition record for p03-src-005036,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
evidence_instrument,control-to-evidence map,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_observation,the local conclusion did not depend on a portal or live endpoint,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
challenge_performed,a change record was tested for reviewer independence,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This privacy risk data use evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
