metric	value	unit	status	evidence_reference
review_population	48	synthetic privileged-role records	closed	EV-184-01
timely_attestation	47 of 48	97.9 percent	remediated	EXC-260713-006
final_completion	48 of 48 (100.0%)	percent	verified	EV-184-19
evidence_completeness	24 of 24	required synthetic items	verified	EV-184-19
residual_risk	Medium	rating	accepted	RISK-031
record_id	p03-full-007918	identifier	closed	CASE-260713-184
disposition_follow_up_anchor	2026-07-14	UTC date	retained	frozen ledger anchor
closure_conclusion	the retention index links the closure decision	exception closure	record-specific	the record retains a stable evidence-chain reference
ledger_traceability	org.cobalt-harbor	Cobalt Harbor Systems (CHS), a fictional managed logistics and harbor-operations platform.	frozen positive spine reference	p03-full-007918
ledger_traceability	decision.dec-260713-004	Retain evidence set 184 under the synthetic GRC retention schedule; no live-source data is included.	frozen positive spine reference	p03-full-007918
ledger_traceability	date.2026-07-14	Evidence normalization, checksum confirmation, and action-owner acknowledgement.	frozen positive spine reference	p03-full-007918
