field	review_value	review_period	review_period_context
evidence_question	Which responsibility boundary must be visible before the record is approved?	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
source_fact	risk owner retained decision record for p03-src-000418	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
evidence_instrument	control test worksheet	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_observation	the local conclusion did not depend on a portal or live endpoint	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
challenge_performed	a single reviewer conclusion was checked for independent challenge	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_profile	the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
counterexample	A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
decision_rule	Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This incident evidence custody check evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
