field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
source_fact,service owner retained contract evidence for p03-src-009307,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
evidence_instrument,approval trail summary,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_observation,the disposition stated both confidence and residual uncertainty,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
challenge_performed,an unsupported completion status was tested for underlying proof,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
counterexample,A file name is not a substitute for the source facts that support the conclusion.,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This control evidence evidence index evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
