field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
source_fact,records owner retained disposition record for p03-src-009095,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
evidence_instrument,meeting decision minute,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_observation,the approval boundary matched the operating record,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
challenge_performed,a change record was tested for reviewer independence,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
