field	review_value	review_period	review_period_context
evidence_question	Which responsibility boundary must be visible before the record is approved?	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
source_fact	named control owner retained approval boundary for p03-src-003285	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
evidence_instrument	handover checklist	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
review_observation	the sample included an adverse operating condition	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
challenge_performed	a process narrative was checked for a named decision owner	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
review_profile	the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
counterexample	A dated narrative without a named custodian is insufficient because responsibility cannot be tested.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
decision_rule	Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer preserved an escalation decision.
