snapshot_date,organization,course,learner_id,assignment_id,assignment_title,evidence_max,reasoning_max,organization_max,format_max,evidence,reasoning,organization,format,total,rubric_max
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S001,B-201,Scenario Map,6,6,4,4,4,5,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S001,B-202,Model Test,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S001,B-203,Design Critique,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S002,B-201,Scenario Map,6,6,4,4,5,3,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S002,B-202,Model Test,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S002,B-203,Design Critique,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S003,B-201,Scenario Map,6,6,4,4,6,5,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S003,B-202,Model Test,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S003,B-203,Design Critique,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S004,B-201,Scenario Map,6,6,4,4,3,3,2,2,10,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S004,B-202,Model Test,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S004,B-203,Design Critique,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S005,B-201,Scenario Map,6,6,4,4,4,5,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S005,B-202,Model Test,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S005,B-203,Design Critique,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S006,B-201,Scenario Map,6,6,4,4,5,3,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S006,B-202,Model Test,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S006,B-203,Design Critique,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S007,B-201,Scenario Map,6,6,4,4,6,5,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S007,B-202,Model Test,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S007,B-203,Design Critique,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S008,B-201,Scenario Map,6,6,4,4,3,3,3,4,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S008,B-202,Model Test,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S008,B-203,Design Critique,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S009,B-201,Scenario Map,6,6,4,4,4,5,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S009,B-202,Model Test,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S009,B-203,Design Critique,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S010,B-201,Scenario Map,6,6,4,4,5,3,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S010,B-202,Model Test,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S010,B-203,Design Critique,6,6,4,4,3,5,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S011,B-201,Scenario Map,6,6,4,4,6,5,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S011,B-202,Model Test,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S011,B-203,Design Critique,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S012,B-201,Scenario Map,6,6,4,4,3,3,4,3,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S012,B-202,Model Test,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S012,B-203,Design Critique,6,6,4,4,5,5,2,2,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S013,B-201,Scenario Map,6,6,4,4,4,5,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S013,B-202,Model Test,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S013,B-203,Design Critique,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S014,B-201,Scenario Map,6,6,4,4,5,3,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S014,B-202,Model Test,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S014,B-203,Design Critique,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S015,B-201,Scenario Map,6,6,4,4,6,5,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S015,B-202,Model Test,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S015,B-203,Design Critique,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S016,B-201,Scenario Map,6,6,4,4,3,3,2,2,10,20
