"field","review_value"
"evidence_question","What minimal trace proves that the control remains attributable to its owner?"
"source_fact","named control owner retained approval boundary for p03-src-007124"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","boundary decision record"
"review_observation","the review preserved a clear separation of duties"
"challenge_performed","a scope boundary was compared with the evidence collection boundary"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule","Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
