"field","review_value"
"evidence_question","Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact","named control owner retained approval boundary for p03-src-004366"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","control test worksheet"
"review_observation","the source record separated assertion from corroboration"
"challenge_performed","an old exception was assessed for continued relevance"
"review_profile","the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule","Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-20"
