record_id,team_label,proposed_rating,calibrated_rating,calibration_outcome,decision_basis
SYN-E001,Product,5,5,Ready,Outcomes met; evidence reviewed
SYN-E002,Engineering,5,5,Ready,Outcomes met; evidence reviewed
SYN-E003,Customer Success,5,5,Ready,Outcomes met; evidence reviewed
SYN-E004,Operations,5,5,Ready,Outcomes met; evidence reviewed
SYN-E005,People,5,5,Ready,Outcomes met; evidence reviewed
SYN-E006,Finance,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E007,Product,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E008,Engineering,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E009,Customer Success,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E010,Operations,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E011,People,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E012,Finance,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E013,Product,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E014,Engineering,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E015,Customer Success,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E016,Operations,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E017,People,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E018,Finance,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E019,Product,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E020,Engineering,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E021,Customer Success,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E022,Operations,4,4,Confirm,Outcomes met; evidence reviewed
SYN-E023,People,3,3,Develop,Progress and support plan reviewed
SYN-E024,Finance,3,3,Develop,Progress and support plan reviewed
SYN-E025,Product,3,3,Develop,Progress and support plan reviewed
SYN-E026,Engineering,3,3,Develop,Progress and support plan reviewed
SYN-E027,Customer Success,3,3,Develop,Progress and support plan reviewed
SYN-E028,Operations,3,3,Develop,Progress and support plan reviewed
SYN-E029,People,3,3,Develop,Progress and support plan reviewed
SYN-E030,Finance,3,3,Develop,Progress and support plan reviewed
SYN-E031,Product,3,3,Develop,Progress and support plan reviewed
SYN-E032,Engineering,3,3,Develop,Progress and support plan reviewed
SYN-E033,Customer Success,3,3,Develop,Progress and support plan reviewed
SYN-E034,Operations,2,2,Support,Progress and support plan reviewed
SYN-E035,People,2,2,Support,Progress and support plan reviewed
SYN-E036,Finance,2,2,Support,Progress and support plan reviewed
