"field"	"review_value"
"evidence_question"	"What minimal trace proves that the control remains attributable to its owner?"
"source_fact"	"change sponsor retained implementation record for p03-src-005520"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"incident chronology"
"review_observation"	"the source record separated assertion from corroboration"
"challenge_performed"	"an absent relationship was made explicit before acceptance"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
