response_id,reporting_group,response_date,enps_rating,engagement_index,manager_effectiveness,growth_clarity,wellbeing_support,enps_class
SUR-001,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-002,Engineering,2026-08-18,9,77,78,77,77,Promoter
SUR-003,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-004,Engineering,2026-08-18,9,77,77,75,77,Promoter
SUR-005,Engineering,2026-08-18,10,77,78,77,78,Promoter
SUR-006,Engineering,2026-08-18,9,77,76,77,77,Promoter
SUR-007,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-008,Engineering,2026-08-18,9,77,78,75,77,Promoter
SUR-009,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-010,Engineering,2026-08-18,9,77,77,77,78,Promoter
SUR-011,Engineering,2026-08-18,10,77,78,77,77,Promoter
SUR-012,Engineering,2026-08-18,9,77,76,75,77,Promoter
SUR-013,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-014,Engineering,2026-08-18,9,77,78,77,77,Promoter
SUR-015,Engineering,2026-08-18,10,77,76,77,78,Promoter
SUR-016,Engineering,2026-08-18,9,77,77,75,77,Promoter
SUR-017,Engineering,2026-08-18,10,77,78,77,77,Promoter
SUR-018,Engineering,2026-08-18,9,77,76,77,77,Promoter
SUR-019,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-020,Engineering,2026-08-18,9,77,78,75,78,Promoter
SUR-021,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-022,Engineering,2026-08-18,9,77,77,77,77,Promoter
SUR-023,Engineering,2026-08-18,10,77,78,77,77,Promoter
SUR-024,Engineering,2026-08-18,9,77,76,75,77,Promoter
SUR-025,Engineering,2026-08-18,10,77,77,77,78,Promoter
SUR-026,Engineering,2026-08-18,9,77,78,77,77,Promoter
SUR-027,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-028,Engineering,2026-08-18,9,77,77,75,77,Promoter
SUR-029,Engineering,2026-08-18,10,77,78,77,77,Promoter
SUR-030,Engineering,2026-08-18,9,77,76,77,78,Promoter
SUR-031,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-032,Engineering,2026-08-18,9,77,78,75,77,Promoter
SUR-033,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-034,Engineering,2026-08-18,9,77,77,77,77,Promoter
SUR-035,Engineering,2026-08-18,10,77,78,77,78,Promoter
SUR-036,Engineering,2026-08-18,9,77,76,75,77,Promoter
SUR-037,Engineering,2026-08-18,10,77,77,77,77,Promoter
SUR-038,Engineering,2026-08-18,9,77,78,77,77,Promoter
SUR-039,Engineering,2026-08-18,10,77,76,77,77,Promoter
SUR-040,Engineering,2026-08-18,9,77,77,75,78,Promoter
SUR-041,Engineering,2026-08-18,10,77,78,77,77,Promoter
SUR-042,Engineering,2026-08-18,9,77,76,77,77,Promoter
SUR-043,Product,2026-08-18,10,77,77,77,77,Promoter
SUR-044,Product,2026-08-18,9,77,78,75,77,Promoter
SUR-045,Product,2026-08-18,10,77,76,77,78,Promoter
SUR-046,Product,2026-08-18,9,77,77,77,77,Promoter
SUR-047,Product,2026-08-18,10,77,78,77,77,Promoter
SUR-048,Product,2026-08-18,9,77,76,75,77,Promoter
SUR-049,Product,2026-08-18,10,77,77,77,77,Promoter
SUR-050,Product,2026-08-18,9,77,78,77,78,Promoter
SUR-051,Product,2026-08-18,10,77,76,77,77,Promoter
SUR-052,Product,2026-08-18,9,77,77,75,77,Promoter
SUR-053,Product,2026-08-18,10,77,78,77,77,Promoter
SUR-054,Product,2026-08-18,9,77,76,77,77,Promoter
SUR-055,Product,2026-08-18,8,77,77,77,78,Passive
SUR-056,Product,2026-08-18,7,77,78,75,77,Passive
SUR-057,Product,2026-08-18,8,77,76,77,77,Passive
SUR-058,Product,2026-08-18,7,77,77,77,77,Passive
SUR-059,Product,2026-08-18,8,77,78,77,77,Passive
SUR-060,Product,2026-08-18,7,77,76,75,78,Passive
SUR-061,Product,2026-08-18,8,77,77,77,77,Passive
SUR-062,Product,2026-08-18,7,77,78,77,77,Passive
SUR-063,Product,2026-08-18,8,77,76,77,77,Passive
SUR-064,Product,2026-08-18,7,77,77,75,77,Passive
SUR-065,Customer Operations,2026-08-18,8,77,78,77,78,Passive
SUR-066,Customer Operations,2026-08-18,7,77,76,77,77,Passive
SUR-067,Customer Operations,2026-08-18,8,77,77,77,77,Passive
