account_code,account_name,cost_center,opening_balance_jpy,period_debits_jpy,period_credits_jpy,ending_balance_jpy
1000,Cash,FIN-100,0,498600000,0,498600000
1100,Accounts Receivable,SALES-410,0,312000000,0,312000000
1200,Prepaid Expenses,FIN-100,0,40000000,0,40000000
1300,Inventory,OPS-210,0,418000000,0,418000000
1500,Fixed Assets,FAC-510,0,190000000,0,190000000
2000,Accounts Payable,OPS-210,0,0,226000000,-226000000
2100,Accrued Payroll,ENG-310,0,0,58000000,-58000000
2200,Deferred Revenue,SALES-410,0,0,77000000,-77000000
3000,Retained Earnings,FIN-100,0,0,807600000,-807600000
4000,Revenue,SALES-410,0,0,680000000,-680000000
5000,COGS,OPS-210,0,272000000,0,272000000
6100,Operating Expense,ENG-310,0,118000000,0,118000000
