field	review_value	review_period	review_period_context
evidence_question	What decision can be made from the retained source material without external access?	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
source_fact	risk owner retained decision record for p03-src-003183	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
evidence_instrument	reviewer observation log	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
review_observation	the local conclusion did not depend on a portal or live endpoint	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
challenge_performed	a handover gap was assessed for accountability loss	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
review_profile	the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
counterexample	A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
decision_rule	Treat the control as effective only when the counterexample has been considered and the exception path is explicit.	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer confirmed the review conclusion.
