field	review_value	review_period	review_period_context
evidence_question	How does the review distinguish complete evidence from an unsupported assertion?	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
source_fact	detection owner retained coverage record for p03-src-003148	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
evidence_instrument	risk treatment worksheet	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_observation	the approved scope was not expanded beyond the available evidence	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
challenge_performed	a scope boundary was compared with the evidence collection boundary	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
counterexample	A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
decision_rule	Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
