field	review_value	review_period	review_period_context
evidence_question	What minimal trace proves that the control remains attributable to its owner?	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
source_fact	service owner retained contract evidence for p03-src-003249	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
evidence_instrument	versioned review register	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_observation	the evidence owner confirmed the record's completeness	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
challenge_performed	a missing date was treated as a traceability concern	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_profile	the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
counterexample	A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
decision_rule	Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This audit request evidence status evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
