run_id,actual_label,predicted_label,count,share_of_actual
R184,account_access,account_access,430,0.874
R184,account_access,delivery_status,28,0.057
R184,account_access,plan_change,28,0.057
R184,account_access,refund_request,3,0.006
R184,account_access,technical_help,3,0.006
R184,delivery_status,account_access,3,0.006
R184,delivery_status,delivery_status,416,0.874
R184,delivery_status,plan_change,27,0.057
R184,delivery_status,refund_request,26,0.055
R184,delivery_status,technical_help,4,0.008
R184,plan_change,account_access,3,0.006
R184,plan_change,delivery_status,3,0.006
R184,plan_change,plan_change,420,0.873
R184,plan_change,refund_request,27,0.056
R184,plan_change,technical_help,28,0.058
R184,refund_request,account_access,26,0.056
R184,refund_request,delivery_status,3,0.006
R184,refund_request,plan_change,3,0.006
R184,refund_request,refund_request,403,0.872
R184,refund_request,technical_help,27,0.058
R184,technical_help,account_access,30,0.061
R184,technical_help,delivery_status,26,0.053
R184,technical_help,plan_change,3,0.006
R184,technical_help,refund_request,3,0.006
R184,technical_help,technical_help,427,0.873
