synthetic_sample_id,replicate,reading_ng_ml,cv_percent
OCW-A24-001,1,6.16,0.65
OCW-A24-001,2,6.23,0.48
OCW-A24-002,1,6.46,0.62
OCW-A24-002,2,6.53,0.46
OCW-A24-003,1,6.66,0.6
OCW-A24-003,2,6.73,0.45
OCW-A24-004,1,6.76,0.59
OCW-A24-004,2,6.83,0.44
OCW-A24-005,1,6.86,0.58
OCW-A24-005,2,6.93,0.43
OCW-A24-006,1,7.06,0.56
OCW-A24-006,2,7.13,0.42
OCW-A24-007,1,6.36,0.62
OCW-A24-007,2,6.43,0.47
OCW-A24-008,1,6.56,0.61
OCW-A24-008,2,6.63,0.45
OCW-A24-009,1,6.76,0.59
OCW-A24-009,2,6.83,0.44
OCW-A24-010,1,6.96,0.57
OCW-A24-010,2,7.03,0.43
OCW-A24-011,1,6.26,0.63
OCW-A24-011,2,6.33,0.48
OCW-A24-012,1,6.86,0.58
OCW-A24-012,2,6.93,0.43
OCW-A24-013,1,6.66,0.6
OCW-A24-013,2,6.73,0.45
OCW-A24-014,1,6.76,0.59
OCW-A24-014,2,6.83,0.44
OCW-A24-015,1,7.16,0.56
OCW-A24-015,2,7.23,0.42
OCW-A24-016,1,6.46,0.62
OCW-A24-016,2,6.53,0.46
OCW-A24-017,1,6.56,0.61
OCW-A24-017,2,6.63,0.45
OCW-A24-018,1,6.76,0.59
OCW-A24-018,2,6.83,0.44
OCW-A24-019,1,6.96,0.57
OCW-A24-019,2,7.03,0.43
OCW-A24-020,1,6.36,0.62
OCW-A24-020,2,6.43,0.47
OCW-A24-021,1,6.86,0.58
OCW-A24-021,2,6.93,0.43
OCW-A24-022,1,6.66,0.6
OCW-A24-022,2,6.73,0.45
OCW-A24-023,1,6.76,0.59
OCW-A24-023,2,6.83,0.44
OCW-A24-024,1,7.06,0.56
OCW-A24-024,2,7.13,0.42
