"field"	"review_value"
"evidence_question"	"What minimal trace proves that the control remains attributable to its owner?"
"source_fact"	"service owner retained contract evidence for p03-src-005148"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"quality review annotation"
"review_observation"	"the review showed how contradictory evidence was resolved"
"challenge_performed"	"an unsupported completion status was tested for underlying proof"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule"	"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
