field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
source_fact,service owner retained contract evidence for p03-src-007136,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
evidence_instrument,sampling rationale,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_observation,the decision retained its escalation threshold,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
challenge_performed,a local conclusion was checked for reliance on external access,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This threat model access review evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
