"field"	"review_value"
"evidence_question"	"What observable evidence demonstrates that the stated control objective is met?"
"source_fact"	"response coordinator retained timeline evidence for p03-src-002648"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"boundary decision record"
"review_observation"	"the retained fact predated the decision by one review cycle"
"challenge_performed"	"an unassigned exception was tested against the escalation route"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule"	"Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
