field,review_value,review_period,review_period_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
source_fact,service owner retained contract evidence for p03-src-001467,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
evidence_instrument,exception decision sheet,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_observation,the record explained why an exception remained open,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
challenge_performed,a handover gap was assessed for accountability loss,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
