field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
source_fact,risk owner retained decision record for p03-src-005806,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
evidence_instrument,meeting decision minute,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_observation,the evidence sequence exposed a material dependency,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
challenge_performed,an absent relationship was made explicit before acceptance,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This vendor risk questionnaire evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
