"field"	"review_value"
"evidence_question"	"How does the review distinguish complete evidence from an unsupported assertion?"
"source_fact"	"response coordinator retained timeline evidence for p03-src-002456"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"policy-to-practice comparison"
"review_observation"	"the local conclusion did not depend on a portal or live endpoint"
"challenge_performed"	"a process narrative was checked for a named decision owner"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
