field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
source_fact,risk owner retained decision record for p03-src-002866,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
evidence_instrument,evidence custody note,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_observation,the evidence set included a challenge from outside the delivery team,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
challenge_performed,a handover gap was assessed for accountability loss,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer recorded a bounded exception.
