"field"	"review_value"
"evidence_question"	"Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact"	"detection owner retained coverage record for p03-src-007016"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"exception decision sheet"
"review_observation"	"the record explained why an exception remained open"
"challenge_performed"	"an absent relationship was made explicit before acceptance"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A file name is not a substitute for the source facts that support the conclusion."
"decision_rule"	"Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
