field	review_value	review_period	review_period_context
evidence_question	What minimal trace proves that the control remains attributable to its owner?	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
source_fact	detection owner retained coverage record for p03-src-001919	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
evidence_instrument	quality review annotation	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
review_observation	the rationale accounted for an incomplete sample	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
challenge_performed	a missing custodian was treated as a review failure	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
review_profile	the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
counterexample	A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
decision_rule	Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using access attestation and compensating action; the reviewer retained a challenge response.
