field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
source_fact,change sponsor retained implementation record for p03-src-003778,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
evidence_instrument,contract obligation extract,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
challenge_performed,a missing custodian was treated as a review failure,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
decision_rule,Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
