"field"	"review_value"
"evidence_question"	"What decision can be made from the retained source material without external access?"
"source_fact"	"named control owner retained approval boundary for p03-src-006216"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control test worksheet"
"review_observation"	"the source record separated assertion from corroboration"
"challenge_performed"	"a control objective was tested for a measurable outcome"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule"	"Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
