field,review_value,review_period,review_period_context
evidence_question,What decision can be made from the retained source material without external access?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
source_fact,response coordinator retained timeline evidence for p03-src-004266,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
evidence_instrument,sampling rationale,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
challenge_performed,a local conclusion was checked for reliance on external access,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
counterexample,A file name is not a substitute for the source facts that support the conclusion.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
