field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
source_fact,risk owner retained decision record for p03-src-005107,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
evidence_instrument,recertification record,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_observation,the disposition stated both confidence and residual uncertainty,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
challenge_performed,a scope boundary was compared with the evidence collection boundary,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
