snapshot_date,organization,course,learner_id,assignment_id,assignment_title,evidence_max,reasoning_max,organization_max,format_max,evidence,reasoning,organization,format,total,rubric_max
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S001,A-101,Evidence Map,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S001,A-102,Source Comparison,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S001,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S002,A-101,Evidence Map,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S002,A-102,Source Comparison,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S002,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S003,A-101,Evidence Map,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S003,A-102,Source Comparison,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S003,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S004,A-101,Evidence Map,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S004,A-102,Source Comparison,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S004,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,3,4,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S005,A-101,Evidence Map,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S005,A-102,Source Comparison,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S005,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S006,A-101,Evidence Map,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S006,A-102,Source Comparison,6,6,4,4,3,5,3,4,15,20
