field	review_value	review_period	review_period_context
evidence_question	Which responsibility boundary must be visible before the record is approved?	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
source_fact	change sponsor retained implementation record for p03-src-001218	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
evidence_instrument	evidence freshness check	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
review_observation	the local conclusion did not depend on a portal or live endpoint	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
challenge_performed	a retained file was assessed for evidence freshness	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
review_profile	the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
counterexample	A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
decision_rule	Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using retention basis and follow-up condition; the reviewer preserved an escalation decision.
