Expense Date,Cost Center,Expense ID,Vendor,Category,Amount JPY,Budget JPY,Approval Status
2026-01-06,FAC-510,FAC-2601-001,Northlight Utilities,Utilities,315000,300000,Approved
2026-01-13,FAC-510,FAC-2601-002,Cedar Maintenance,Repairs,142000,150000,Approved
2026-01-21,FAC-510,FAC-2601-003,Cleanline Services,Cleaning,88000,90000,Approved
2026-02-05,FAC-510,FAC-2602-004,Northlight Utilities,Utilities,325000,300000,Approved
2026-02-12,FAC-510,FAC-2602-005,Cedar Maintenance,Repairs,175000,150000,Approved
2026-02-19,FAC-510,FAC-2602-006,SafeStep Systems,Safety supplies,76000,80000,Approved
2026-03-03,FAC-510,FAC-2603-007,Northlight Utilities,Utilities,342000,300000,Approved
2026-03-09,FAC-510,FAC-2603-008,Cleanline Services,Cleaning,94000,90000,Approved
2026-03-14,FAC-510,FAC-2603-009,Cedar Maintenance,Repairs,220000,180000,Approved
2026-03-18,FAC-510,FAC-2603-010,SafeStep Systems,Safety supplies,81000,80000,Approved
2026-03-23,FAC-510,FAC-2603-011,Metro Lift Service,Equipment service,130000,120000,Approved
2026-03-29,FAC-510,FAC-2603-012,Northlight Utilities,Utilities,350000,300000,Pending
