"field"	"review_value"
"evidence_question"	"What minimal trace proves that the control remains attributable to its owner?"
"source_fact"	"risk owner retained decision record for p03-src-006985"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control-to-evidence map"
"review_observation"	"the source chronology did not conceal a late correction"
"challenge_performed"	"a conflicting approval was escalated instead of silently merged"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
