field,review_value,review_period,review_period_context,artifact_assigned_review_date,artifact_assigned_review_date_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
source_fact,named control owner retained approval boundary for p03-src-004052,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
evidence_instrument,retention schedule extract,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_observation,the owner acknowledged a limitation without weakening traceability,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
challenge_performed,an ambiguous dependency was clarified before disposition,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_date,2026-07-13,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer set a follow-up assurance trigger.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
