field	review_value	review_period	review_period_context
evidence_question	What observable evidence demonstrates that the stated control objective is met?	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
source_fact	system steward retained review register for p03-src-009548	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
evidence_instrument	control-to-evidence map	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_observation	the owner acknowledged a limitation without weakening traceability	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
challenge_performed	a missing custodian was treated as a review failure	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
counterexample	A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
decision_rule	Treat the control as effective only when the counterexample has been considered and the exception path is explicit.	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
