field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
source_fact,detection owner retained coverage record for p03-src-000836,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
evidence_instrument,asset accountability list,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_observation,the source chronology did not conceal a late correction,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
challenge_performed,a corrective action was tested for closure evidence,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This intake request attachment evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
