synthetic_sample_id,planned_ul,dispensed_ul,variance_ul,status
OCW-A24-001,50,49.8,-0.2,PASS
OCW-A24-002,50,49.9,-0.1,PASS
OCW-A24-003,50,50.0,0.0,PASS
OCW-A24-004,50,50.1,0.1,PASS
OCW-A24-005,50,50.2,0.2,PASS
OCW-A24-006,50,49.8,-0.2,PASS
OCW-A24-007,50,49.9,-0.1,PASS
OCW-A24-008,50,50.0,0.0,PASS
OCW-A24-009,50,50.1,0.1,PASS
OCW-A24-010,50,50.2,0.2,PASS
OCW-A24-011,50,49.8,-0.2,PASS
OCW-A24-012,50,49.9,-0.1,PASS
OCW-A24-013,50,50.0,0.0,PASS
OCW-A24-014,50,50.1,0.1,PASS
OCW-A24-015,50,50.2,0.2,PASS
OCW-A24-016,50,49.8,-0.2,PASS
OCW-A24-017,50,49.9,-0.1,PASS
OCW-A24-018,50,50.0,0.0,PASS
OCW-A24-019,50,50.1,0.1,PASS
OCW-A24-020,50,50.2,0.2,PASS
OCW-A24-021,50,49.8,-0.2,PASS
OCW-A24-022,50,49.9,-0.1,PASS
OCW-A24-023,50,50.0,0.0,PASS
OCW-A24-024,50,50.1,0.1,PASS
