field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
source_fact,records owner retained disposition record for p03-src-005423,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
evidence_instrument,handover checklist,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_observation,the conclusion identified the next assurance trigger,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
challenge_performed,a stale approval was compared with the current ownership assignment,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
