field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
source_fact,service owner retained contract evidence for p03-src-005597,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
evidence_instrument,recertification record,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_observation,the review distinguished a planned activity from completed operation,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
challenge_performed,a missing custodian was treated as a review failure,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_profile,the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This control evidence review population evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
