field	review_value	review_period	review_period_context
evidence_question	Which source fact would cause the reviewer to accept the control conclusion?	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
source_fact	named control owner retained approval boundary for p03-src-001049	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
evidence_instrument	asset accountability list	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_observation	the record explained why an exception remained open	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
challenge_performed	a change record was tested for reviewer independence	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_profile	the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
counterexample	A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
decision_rule	Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This intake checksum receipt evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
