field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
source_fact,detection owner retained coverage record for p03-src-003636,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
evidence_instrument,change-impact assessment,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_observation,the exception was linked to a compensating action,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
challenge_performed,a summary was checked against the underlying decision minute,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
counterexample,A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
