export_id,matter,organization,custodian_id,custodian_alias,hold_status,notice_date,acknowledgment_date,preservation_scope,source_system
AL-CUST-001,Matter Alpha,Aster Legal,CUS-AL-001,custodian-01,Acknowledged,2026-06-30,2026-07-02,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-002,Matter Alpha,Aster Legal,CUS-AL-002,custodian-02,Acknowledged,2026-06-30,2026-07-03,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-003,Matter Alpha,Aster Legal,CUS-AL-003,custodian-03,Acknowledged,2026-06-30,2026-07-04,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-004,Matter Alpha,Aster Legal,CUS-AL-004,custodian-04,Acknowledged,2026-06-30,2026-07-05,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-005,Matter Alpha,Aster Legal,CUS-AL-005,custodian-05,Acknowledged,2026-06-30,2026-07-06,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-006,Matter Alpha,Aster Legal,CUS-AL-006,custodian-06,Acknowledged,2026-06-30,2026-07-07,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-007,Matter Alpha,Aster Legal,CUS-AL-007,custodian-07,Acknowledged,2026-06-30,2026-07-08,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-008,Matter Alpha,Aster Legal,CUS-AL-008,custodian-08,Acknowledged,2026-06-30,2026-07-09,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-009,Matter Alpha,Aster Legal,CUS-AL-009,custodian-09,Acknowledged,2026-06-30,2026-07-01,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-010,Matter Alpha,Aster Legal,CUS-AL-010,custodian-10,Acknowledged,2026-06-30,2026-07-02,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-011,Matter Alpha,Aster Legal,CUS-AL-011,custodian-11,Acknowledged,2026-06-30,2026-07-03,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-012,Matter Alpha,Aster Legal,CUS-AL-012,custodian-12,Acknowledged,2026-06-30,2026-07-04,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-013,Matter Alpha,Aster Legal,CUS-AL-013,custodian-13,Acknowledged,2026-06-30,2026-07-05,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-014,Matter Alpha,Aster Legal,CUS-AL-014,custodian-14,Acknowledged,2026-06-30,2026-07-06,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-015,Matter Alpha,Aster Legal,CUS-AL-015,custodian-15,Acknowledged,2026-06-30,2026-07-07,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-016,Matter Alpha,Aster Legal,CUS-AL-016,custodian-16,Acknowledged,2026-06-30,2026-07-08,Business records and approved work channels,DLP-admin-sandbox
