ticket_id,customer,priority,channel,status,sla_state,created_at,sla_due_at,unresolved_age_minutes,requester,subject,assignee
HD-260804-2718,Customer Alpha,P1,email,open,breached,2026-08-04T02:14:00Z,2026-08-04T06:14:00Z,406,redacted:requester-01,Provisioning job blocks workspace launch,support-oncall
HD-260804-1934,Customer Beta,P2,web,pending_customer,breached,2026-08-04T03:42:00Z,2026-08-04T07:42:00Z,318,redacted:requester-02,Dashboard export returns an empty CSV,queue-west
HD-260804-2841,Customer Alpha,P2,chat,open,at-risk,2026-08-04T05:55:00Z,2026-08-04T09:55:00Z,185,redacted:requester-03,SCIM group sync delayed,identity-pod
HD-260804-2849,Northstar Labs,P2,email,open,within,2026-08-04T05:36:00Z,2026-08-04T09:36:00Z,204,redacted:requester-04,Audit trail filter omits actor,queue-east
HD-260804-2857,Customer Alpha,P2,web,investigating,within,2026-08-04T06:08:00Z,2026-08-04T10:08:00Z,172,redacted:requester-05,Bulk invite confirmation is delayed,onboarding-pod
HD-260804-2861,Customer Beta,P2,chat,open,at-risk,2026-08-04T05:12:00Z,2026-08-04T09:12:00Z,228,redacted:requester-06,Role change not visible in mobile client,queue-west
HD-260804-2726,Customer Alpha,P3,email,open,at-risk,2026-08-04T05:05:00Z,2026-08-04T09:05:00Z,235,redacted:requester-07,Weekly digest uses prior timezone,reporting-pod
HD-260804-2732,Customer Alpha,P3,web,pending_customer,within,2026-08-04T06:26:00Z,2026-08-04T10:26:00Z,154,redacted:requester-08,Saved view sharing permission unclear,queue-east
HD-260804-2740,Customer Beta,P3,chat,open,within,2026-08-04T06:44:00Z,2026-08-04T10:44:00Z,136,redacted:requester-09,Notification badge remains after read,mobile-pod
HD-260804-2751,Northstar Labs,P3,email,investigating,within,2026-08-04T07:03:00Z,2026-08-04T11:03:00Z,117,redacted:requester-10,API usage graph lags one interval,analytics-pod
HD-260804-2763,Customer Alpha,P3,web,open,at-risk,2026-08-04T05:19:00Z,2026-08-04T09:19:00Z,221,redacted:requester-11,Template approval remains queued,workflow-pod
HD-260804-2774,Customer Beta,P3,chat,pending_customer,within,2026-08-04T07:28:00Z,2026-08-04T11:28:00Z,92,redacted:requester-12,SAML login message lacks next step,identity-pod
HD-260804-2789,Customer Alpha,P3,email,open,within,2026-08-04T07:41:00Z,2026-08-04T11:41:00Z,79,redacted:requester-13,Attachment preview renders slowly,queue-east
HD-260804-2803,Customer Beta,P3,web,investigating,within,2026-08-04T07:56:00Z,2026-08-04T11:56:00Z,64,redacted:requester-14,Locale selector resets after refresh,frontend-pod
HD-260804-2811,Customer Alpha,P4,email,open,within,2026-08-04T08:10:00Z,2026-08-04T12:10:00Z,50,redacted:requester-15,Help link points to legacy article,knowledge-pod
HD-260804-2824,Customer Alpha,P4,web,pending_customer,within,2026-08-04T08:23:00Z,2026-08-04T12:23:00Z,37,redacted:requester-16,Dark-mode contrast question,queue-east
HD-260804-2836,Cedar Works,P4,chat,open,within,2026-08-04T08:37:00Z,2026-08-04T12:37:00Z,23,redacted:requester-17,Keyboard shortcut request,product-feedback
