"field"	"review_value"
"evidence_question"	"Which responsibility boundary must be visible before the record is approved?"
"source_fact"	"change sponsor retained implementation record for p03-src-005486"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"outcome verification note"
"review_observation"	"the review preserved a clear separation of duties"
"challenge_performed"	"a summary was checked against the underlying decision minute"
"review_profile"	"the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule"	"Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
