"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","named control owner retained approval boundary for p03-src-006739"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","reviewer observation log"
"review_observation","the reviewer could locate the controlling decision without inference"
"challenge_performed","a control objective was tested for a measurable outcome"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A file name is not a substitute for the source facts that support the conclusion."
"decision_rule","Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
