"field"	"review_value"
"evidence_question"	"Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact"	"records owner retained disposition record for p03-src-000249"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control narrative comparison"
"review_observation"	"the conclusion identified the next assurance trigger"
"challenge_performed"	"a claimed control was tested against a negative sample"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule"	"Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
