field,review_value,review_period,review_period_context
evidence_question,What decision can be made from the retained source material without external access?,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
source_fact,service owner retained contract evidence for p03-src-000907,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
evidence_instrument,signed ownership matrix,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
review_observation,the review showed how contradictory evidence was resolved,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
challenge_performed,an exception rationale was tested for a documented decision rule,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer confirmed the review conclusion.
