"field","review_value"
"evidence_question","Which review question exposes a gap between policy language and operating evidence?"
"source_fact","detection owner retained coverage record for p03-src-002923"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","handover checklist"
"review_observation","the reviewer could locate the controlling decision without inference"
"challenge_performed","a process narrative was checked for a named decision owner"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule","Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
