source_schema,aggregation_level,period,generated_at_jst,metric_definition,channel,region,category,net_merchandise_value_jpy
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,East,Home,4500000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,East,Home,3500000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,East,Electronics,4000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,East,Electronics,3200000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,East,Apparel,3000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,East,Apparel,2000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,East,Beauty,1300000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,East,Beauty,2000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,East,Other,1900000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,East,Other,1000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,West,Home,3500000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,West,Home,2500000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,West,Electronics,2700000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,West,Electronics,2600000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,West,Apparel,3600000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,West,Apparel,3000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,West,Beauty,1300000
