"field"	"review_value"
"evidence_question"	"How should a conflicting source be handled before the disposition is recorded?"
"source_fact"	"service owner retained contract evidence for p03-src-004347"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"retention schedule extract"
"review_observation"	"the conclusion identified the next assurance trigger"
"challenge_performed"	"a broad claim was narrowed to the observable control action"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule"	"Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-14"
