field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
source_fact,named control owner retained approval boundary for p03-src-007695,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
evidence_instrument,sampled access attestation,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_observation,the review distinguished a planned activity from completed operation,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
challenge_performed,a summary was checked against the underlying decision minute,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This incident evidence closure summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
