field	review_value	review_period	review_period_context
evidence_question	Which review question exposes a gap between policy language and operating evidence?	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
source_fact	service owner retained contract evidence for p03-src-008748	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
evidence_instrument	service inventory snapshot	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_observation	the decision retained its escalation threshold	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
challenge_performed	a compensating action was checked for accountable ownership	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
counterexample	A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
decision_rule	Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
