field,review_value,review_period,review_period_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
source_fact,service owner retained contract evidence for p03-src-008396,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
evidence_instrument,issue disposition register,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_observation,the reviewer recorded why an unavailable source was not relied upon,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
challenge_performed,an unsupported completion status was tested for underlying proof,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This incident evidence evidence intake evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
