timestamp_utc,instrument_id,temperature_c,within_range
2026-07-13T09:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T09:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T09:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T09:45:00Z,ThermoNest IN-2,22.3,YES
2026-07-13T10:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T10:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T10:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T10:45:00Z,ThermoNest IN-2,22.3,YES
2026-07-13T11:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T11:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T11:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T11:45:00Z,ThermoNest IN-2,22.3,YES
2026-07-13T12:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T12:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T12:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T12:45:00Z,ThermoNest IN-2,22.3,YES
2026-07-13T13:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T13:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T13:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T13:45:00Z,ThermoNest IN-2,22.3,YES
2026-07-13T14:00:00Z,ThermoNest IN-2,22.0,YES
2026-07-13T14:15:00Z,ThermoNest IN-2,22.1,YES
2026-07-13T14:30:00Z,ThermoNest IN-2,22.2,YES
2026-07-13T14:45:00Z,ThermoNest IN-2,22.3,YES
