"field","review_value"
"evidence_question","What minimal trace proves that the control remains attributable to its owner?"
"source_fact","named control owner retained approval boundary for p03-src-004666"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","policy-to-practice comparison"
"review_observation","the rationale accounted for an incomplete sample"
"challenge_performed","a process narrative was checked for a named decision owner"
"review_profile","the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule","Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
