field	review_value	review_period	review_period_context
evidence_question	What decision can be made from the retained source material without external access?	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
source_fact	response coordinator retained timeline evidence for p03-src-003983	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
evidence_instrument	versioned review register	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_observation	the review showed how contradictory evidence was resolved	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
challenge_performed	a process narrative was checked for a named decision owner	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_profile	the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
counterexample	A dated narrative without a named custodian is insufficient because responsibility cannot be tested.	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
decision_rule	Treat the control as effective only when the counterexample has been considered and the exception path is explicit.	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using control boundary and operating ownership; the reviewer confirmed the review conclusion.
