field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
source_fact,system steward retained review register for p03-src-002307,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
evidence_instrument,retention schedule extract,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
review_observation,the accountable role was preserved through handover,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
challenge_performed,a process narrative was checked for a named decision owner,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer retained a challenge response.
