organization,study,reference_date,cohort,synthetic_sample_id,protocol_run,run_id,assay_ng_ml,anchor_reference,data_status
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-001,OCW-BIO-017,ALPHA-A24-R03,6.2,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-002,OCW-BIO-017,ALPHA-A24-R03,6.5,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-003,OCW-BIO-017,ALPHA-A24-R03,6.7,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-004,OCW-BIO-017,ALPHA-A24-R03,6.8,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-005,OCW-BIO-017,ALPHA-A24-R03,6.9,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-006,OCW-BIO-017,ALPHA-A24-R03,7.1,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-007,OCW-BIO-017,ALPHA-A24-R03,6.4,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-008,OCW-BIO-017,ALPHA-A24-R03,6.6,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-009,OCW-BIO-017,ALPHA-A24-R03,6.8,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-010,OCW-BIO-017,ALPHA-A24-R03,7.0,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-011,OCW-BIO-017,ALPHA-A24-R03,6.3,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-012,OCW-BIO-017,ALPHA-A24-R03,6.9,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-013,OCW-BIO-017,ALPHA-A24-R03,6.7,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-014,OCW-BIO-017,ALPHA-A24-R03,6.8,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-015,OCW-BIO-017,ALPHA-A24-R03,7.2,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-016,OCW-BIO-017,ALPHA-A24-R03,6.5,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-017,OCW-BIO-017,ALPHA-A24-R03,6.6,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-018,OCW-BIO-017,ALPHA-A24-R03,6.8,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-019,OCW-BIO-017,ALPHA-A24-R03,7.0,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-020,OCW-BIO-017,ALPHA-A24-R03,6.4,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-021,OCW-BIO-017,ALPHA-A24-R03,6.9,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-022,OCW-BIO-017,ALPHA-A24-R03,6.7,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-023,OCW-BIO-017,ALPHA-A24-R03,6.8,assay 6.8 ng/mL,synthetic
Orchid Cellworks,Study Alpha,2026-07-13,cohort A-24,OCW-A24-024,OCW-BIO-017,ALPHA-A24-R03,7.1,assay 6.8 ng/mL,synthetic
