field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
source_fact,detection owner retained coverage record for p03-src-003252,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
evidence_instrument,asset accountability list,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_observation,the verification date was visible beside the source fact,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
challenge_performed,an absent relationship was made explicit before acceptance,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using access attestation and compensating action; the reviewer documented an ownership check.
