field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
source_fact,detection owner retained coverage record for p03-src-003707,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
evidence_instrument,assumption challenge log,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_observation,the accountable role was preserved through handover,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
challenge_performed,a duplicated statement was not accepted as independent corroboration,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This working notes review draft evidence metrics record was assessed using access attestation and compensating action; the reviewer recorded a bounded exception.
