calendar_id	deliverable_name	owner	status	due_date	dependency_ids	deliverable_type	workstream	program	client	phase	kickoff_date	budget_jpy_m
CAL-001	Baseline close assessment	Avery Calder	Complete	2026-07-17		Assessment memo	Finance operating model	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-002	Stakeholder map and cadence	Theo Mercer	Complete	2026-07-17		Stakeholder map	Program mobilization	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-003	Data source inventory	Nina Solberg	Complete	2026-07-20	SVA-FA-001	Data inventory	Finance data	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-004	Value tree workshop	Keiko Ward	Complete	2026-07-21	SVA-FA-001;SVA-FA-003	Workshop board	Value architecture	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-005	Close pain-point interviews	Avery Calder	Complete	2026-07-24	SVA-FA-001	Interview synthesis	Finance operating model	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-006	Revenue quality hypothesis	Nina Solberg	Complete	2026-07-28	SVA-FA-004	Opportunity brief	Revenue quality	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-007	Cost baseline segmentation	Theo Mercer	Complete	2026-07-29	SVA-FA-002;SVA-FA-004	Cost baseline	Cost discipline	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-008	Cash forecast diagnostic	Keiko Ward	Complete	2026-07-30	SVA-FA-002;SVA-FA-004	Diagnostic pack	Cash confidence	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-009	Target operating model principles	Avery Calder	In progress	2026-08-07	SVA-FA-005	Design principles	Finance operating model	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
CAL-010	Design review forum	Theo Mercer	Planned	2026-08-07	SVA-FA-009;SVA-FA-010;SVA-FA-011;SVA-FA-012	Review meeting	Program mobilization	Summit Vale Advisory	Client Alpha	Phase 1 Finance	2026-07-13	42.8
